OBJECTIVE_SCORE,SUBJECTIVE_SCORE,REVIEW_SCORE,REVIEW_TYPE
100,69,7,Self Review
100,80,8,Self Review
83,68,7,Self Review
88,71,7,Self Review
70,77,7,Self Review
60,79,7,Self Review
100,69,7,Tech Lead Review
91,74,7,Tech Lead Review
100,76,8,Tech Lead Review
75,70,7,Tech Lead Review
100,80,8,Tech Lead Review
100,73,8,Tech Lead Review
89,81,8,Tech Lead Review
91,77,8,Tech Lead Review
100,100,10,Tech Lead Review
75,81,8,Peer Review
64,79,7,Self Review
63,76,7,Peer Review
44,77,6,Self Review
82,86,8,Self Review
82,79,8,Peer Review
91,90,9,Self Review
25,63,5,Peer Review
90,81,8,Self Review
64,87,8,Peer Review
82,84,8,Self Review
82,90,8,Peer Review
100,90,9,Peer Review
82,84,8,Self Review
75,86,8,Peer Review
93,59,6,Tech Lead Review
50,90,7,Peer Review
92,76,8,Tech Lead Review
100,89,9,Tech Lead Review
93,76,8,Self Review
100,99,9,Self Review
92,80,8,Tech Lead Review
100,82,8,Tech Lead Review
91,81,8,Self Review
91,90,9,Peer Review
50,90,7,Peer Review
91,64,7,Peer Review
88,87,8,Peer Review
100,92,9,Peer Review
100,90,9,Peer Review
100,76,8,Self Review
100,89,9,Self Review
92,94,9,Peer Review
100,94,9,Peer Review
63,87,8,Self Review
100,90,9,Tech Lead Review
100,84,8,Self Review
100,83,8,Tech Lead Review
100,81,8,Self Review
100,82,8,Self Review
87,87,8,Self Review
100,81,8,Tech Lead Review
100,96,9,Self Review
100,97,9,Peer Review
91,80,8,Peer Review
82,100,9,Self Review
100,81,8,Self Review
44,83,7,Self Review
100,97,9,Peer Review
91,83,8,Peer Review
100,81,8,Self Review
91,84,8,Self Review
86,81,8,Self Review
100,90,9,Peer Review
91,84,8,Tech Lead Review
100,48,6,Peer Review
100,90,9,Peer Review
75,80,7,Peer Review
100,81,8,Self Review
82,81,8,Peer Review
91,77,8,Peer Review
100,73,8,Tech Lead Review
38,87,7,Self Review
100,94,9,Self Review
100,94,9,Peer Review
100,80,8,Tech Lead Review
100,80,8,Tech Lead Review
100,74,8,Tech Lead Review
100,90,9,Peer Review
100,99,9,Self Review
91,93,9,Self Review
100,72,8,Tech Lead Review
93,79,8,Tech Lead Review
100,82,8,Self Review
100,91,9,Peer Review
100,83,8,Self Review
100,88,9,Self Review
100,86,9,Self Review
100,98,9,Self Review
100,70,7,Self Review
100,74,8,Self Review
100,72,8,Self Review
100,87,9,Peer Review
100,97,9,Self Review
93,92,9,Peer Review
100,83,8,Self Review
100,84,8,Tech Lead Review
90,80,8,Peer Review
100,97,9,Self Review
86,100,9,Peer Review
83,99,9,Peer Review
100,79,8,Self Review
82,91,8,Self Review
92,100,9,Self Review
100,81,8,Tech Lead Review
82,76,7,Peer Review
77,92,8,Peer Review
82,83,8,Peer Review
100,70,7,Self Review
100,79,8,Peer Review
85,91,8,Self Review
90,74,7,Self Review
82,79,8,Peer Review
79,81,8,Peer Review
91,64,7,Tech Lead Review
100,86,9,Tech Lead Review
100,83,8,Self Review
100,78,8,Tech Lead Review
80,92,8,Self Review
100,77,8,Self Review
91,91,9,Peer Review
100,89,9,Self Review
86,92,9,Peer Review
100,100,10,Peer Review
91,83,8,Self Review
100,76,8,Self Review
100,79,8,Self Review
73,77,7,Peer Review
83,61,6,Tech Lead Review
100,86,9,Tech Lead Review
100,66,7,Peer Review
100,77,8,Tech Lead Review
93,82,8,Peer Review
100,91,9,Tech Lead Review
87,78,8,Peer Review
100,86,9,Tech Lead Review
100,81,8,Tech Lead Review
100,76,8,Self Review
88,97,9,Self Review
89,89,8,Tech Lead Review
100,91,9,Self Review
100,79,8,Self Review
100,84,8,Tech Lead Review
73,77,7,Tech Lead Review
100,90,9,Tech Lead Review
90,91,9,Self Review
100,89,9,Self Review
91,90,9,Peer Review
100,89,9,Self Review
100,76,8,Self Review
100,93,9,Tech Lead Review
90,86,8,Tech Lead Review
91,80,8,Self Review
